"Base Word",Guideword,Level,"Part of Speech",YLE,YLE
agree,"SAME OPINION",A2,verb,Flyers,
biscuit,,A1,noun,Flyers,
butter,,A1,noun,Flyers,
cereal,"BREAKFAST FOOD",A2,noun,Flyers,
burn,"COOK TOO LONG",B1,verb,Flyers,
castle,,A2,noun,Flyers,
bin,,B1,noun,Flyers,
bank,MONEY,A1,noun,Flyers,
borrow,GET,A2,verb,Flyers,
cave,,B1,noun,Flyers,
air,GAS,A2,noun,Flyers,
autumn,,A2,noun,Flyers,
act,BEHAVE,B1,verb,Flyers,
brush,CLEAN/TIDY,A2,verb,Flyers,
bit,"SMALL AMOUNT",A2,noun,Flyers,
believe,TRUE,A2,verb,Flyers,
card,GAME,A2,noun,Flyers,
business,SELLING,A1,noun,Flyers,
chess,,A2,noun,Flyers,
airport,,A2,noun,Flyers,
bicycle,,A2,noun,Flyers,
air,AIRCRAFT,A2,noun,Flyers,
adventure,,A2,noun,Flyers,
camp,,A2,verb,Flyers,
business,ORGANIZATION,A2,noun,Flyers,
businessman,,A2,noun,Flyers,
businesswoman,,A2,noun,Flyers,
artist,,A2,noun,Flyers,
chemist,SHOP,A2,noun,Flyers,
actor,,A2,noun,Flyers,
ambulance,,A2,noun,Flyers,
bridge,STRUCTURE,A2,noun,Flyers,
brush,TOOL,A2,noun,Flyers,
calendar,,A2,noun,Flyers,
century,,A2,noun,Flyers,
backpack,,B1,noun,Flyers,
bat,ANIMAL,B1,noun,Movers,
cage,,B1,noun,Movers,
clown,,A2,noun,Movers,
circus,,B1,noun,Movers,
back,BODY,A2,noun,Movers,
call,SHOUT,B1,verb,Movers,
circle,SHAPE,A2,noun,Movers,
café,,A1,noun,Movers,
bottle,,A2,noun,Movers,
bowl,,A2,noun,Movers,
cheese,,A1,noun,Movers,
address,"BUILDING DETAILS",A1,noun,Movers,
blanket,"FOR BED",A2,noun,Movers,
centre,PLACE,A2,noun,Movers,
balcony,"HOUSE ETC.",B1,noun,Movers,
basement,,B2,noun,Movers,
cloud,WATER,A2,noun,Movers,
carry,HOLD,A1,verb,Movers,
bring,"TAKE WITH YOU",A2,verb,Movers,
change,"START SOMETHING NEW",A1,verb,Movers,
climb,PERSON,A2,verb,Movers,
beard,,A1,noun,Movers,
aunt,,A2,noun,Movers,
call,NAME,B1,verb,Movers,
address,ELECTRONIC,A1,noun,Movers,
CD,,A1,noun,Movers,
"bus station",,A2,noun,Movers,
"bus stop",,A2,noun,Movers,
"car park",,A2,noun,Movers,
catch,TRAVEL,A1,verb,Movers,
build,,A2,verb,Movers,
cinema,BUILDING,A1,noun,Movers,
city,,A1,noun,Movers,
break,STOP,A2,noun,Movers,
centre,MIDDLE,A2,noun,Movers,
caution,,C2,verb,,
advertisement,,A2,noun,,
assert,,C1,verb,,
address,SPEAK,C2,verb,,
cash,MONEY,B1,noun,,
acquire,GET,B2,verb,,
click,PEOPLE,C2,verb,,
clarification,,C1,noun,,
acknowledge,"SAY RECEIVED",C1,verb,,
aid,,C1,verb,,
applaud,PRAISE,C2,verb,,
cease,,B2,verb,,
carrot,REWARD,C2,noun,,
character,PERSON,C2,noun,,
ages,,B1,noun,,
bunch,PEOPLE,B1,noun,,
click,IDEA,C2,verb,,
birth,BEGINNING,C1,noun,,
approval,PERMISSION,B2,noun,,
chemical,,B2,noun,,
appearance,"IN PUBLIC",B2,noun,,
assurance,PROMISE,C1,noun,,
allowance,MONEY,C1,noun,,
assistance,,B2,noun,,
appearance,"WAY YOU LOOK",B1,noun,,
assurance,CONFIDENCE,C2,noun,,
appearance,"BECOMING AVAILABLE",B2,noun,,
assistant,"LESS IMPORTANT JOB",B1,noun,,
bestseller,,B2,noun,,
beginner,,A2,noun,,
"CD player",,A1,noun,,
browser,,B2,noun,,
backpacker,,B1,noun,,
bumper,,B2,noun,,
cleaner,PERSON,A2,noun,,
babysitter,,B1,noun,,
barber,,B1,noun,,
builder,,B1,noun,,
adviser,,C1,noun,,
classic,,B2,noun,,
characteristic,,B2,noun,,
clothing,,B2,noun,,
catering,,B2,noun,,
"central heating",,B1,noun,,
boxing,,B1,noun,,
camping,,A2,noun,,
backpacking,,B1,noun,,
booking,,B1,noun,,
animation,,B1,noun,,
allegation,,C1,noun,,
addition,NUMBERS/AMOUNTS,B2,noun,,
admission,PERMISSION,B2,noun,,
admission,MONEY,B1,noun,,
action,ACTIVITY,B1,noun,,
action,DO,B2,noun,,
calculation,,B2,noun,,
admiration,,B2,noun,,
ambition,"STRONG FEELING",B2,noun,,
appreciation,,B2,noun,,
affection,,B2,noun,,
attraction,FEELING,C2,noun,,
celebration,,B1,noun,,
adoption,,B2,noun,,
application,"COMPUTER SOFTWARE",B2,noun,,
capitalism,,C2,noun,,
archaeologist,,C1,noun,,
clarity,,C2,noun,,
capacity,AMOUNT,B2,noun,,
capacity,ABILITY,B2,noun,,
capacity,JOB,C1,noun,,
activity,WORK,B2,noun,,
argument,DISAGREEMENT,B1,noun,,
agreement,DECISION,B2,noun,,
argument,REASON,B2,noun,,
agreement,"SAME OPINION",B2,noun,,
arrangement,AGREEMENT,B2,noun,,
achievement,,B1,noun,,
adjustment,,B2,noun,,
assessment,,B2,noun,,
amazement,,B2,noun,,
amusement,FEELING,B2,noun,,
astonishment,,B2,noun,,
attachment,COMPUTING,B2,noun,,
appointment,JOB,C2,noun,,
blindness,"NOT SEEING",C1,noun,,
carelessness,,B2,noun,,
cheerfulness,,C2,noun,,
ancestor,,B2,noun,,
championship,,B1,noun,,
bravery,,B2,noun,,
addiction,,B2,noun,,
abortion,,C1,noun,,
ant,,B1,noun,,
bug,INSECT,B1,noun,,
bull,,B1,noun,,
calf,ANIMAL,B1,noun,,
breed,,B2,noun,,
cell,ORGANISM,B2,noun,,
beak,,C1,noun,,
bark,DOG,B2,verb,,
breed,"KEEP ANIMALS",B2,verb,,
album,MUSIC,A2,noun,,
act,THEATRE,B1,noun,,
ad,,B1,noun,,
advert,,B1,noun,,
article,NEWSPAPER,B1,noun,,
biography,,B1,noun,,
chapter,,B1,noun,,
character,"IN A STORY",B1,noun,,
"chat show",,B1,noun,,
beat,MUSIC,B2,noun,,
cello,,B2,noun,,
bow,MUSIC,C2,noun,,
cable,TELEVISION/TELEPHONE,B1,noun,,
cinema,ART,C1,noun,,
brass,MUSIC,C2,noun,,
ballet,,B1,noun,,
background,PICTURE,B2,noun,,
accompany,MUSIC,C2,verb,,
advertise,"TRY TO SELL",B1,verb,,
broadcast,,B2,verb,,
accident,"BAD EVENT",A2,noun,,
brain,"IN HEAD",A2,noun,,
ache,,B1,noun,,
ankle,,B1,noun,,
body,"NOT ARMS/LEGS",B1,noun,,
bottom,"BODY PART",B1,noun,,
breast,,B1,noun,,
cheek,,B1,noun,,
chin,,B1,noun,,
beat,"REGULAR SOUND",B2,noun,,
bite,INJURY,B2,noun,,
breakdown,ILLNESS,B2,noun,,
bruise,,B2,noun,,
bug,ILLNESS,B2,noun,,
chest,BODY,B2,noun,,
antibiotic,,C2,noun,,
blister,,C2,noun,,
calf,LEG,C2,noun,,
case,ILLNESS,C2,noun,,
blood,"RED LIQUID",A2,noun,,
breath,AIR,B1,noun,,
care,PROTECTION,B2,noun,,
cholesterol,,C1,noun,,
aspirin,,B1,noun,,
backache,,B1,noun,,
birth,BABY,B1,noun,,
bone,"IN BODY",B1,noun,,
beat,HEART,B1,verb,,
bleed,,B1,verb,,
ache,,B2,verb,,
catch,ILLNESS,A2,verb,,
bump,HURT,B2,verb,,
carry,DISEASE,C1,verb,,
attack,DISEASE,C2,verb,,
breathe,,B1,verb,,
cap,,A2,noun,,
button,"ON CLOTHING",B1,noun,,
badge,,B2,noun,,
bikini,,B2,noun,,
bow,KNOT,B2,noun,,
bra,,B2,noun,,
cardigan,,B2,noun,,
"capital letter",,A2,noun,,
accent,PRONUNCIATION,B1,noun,,
alarm,WARNING,B1,noun,,
brochure,,B1,noun,,
call,SHOUT,B1,noun,,
card,INFORMATION,B1,noun,,
certificate,,B1,noun,,
accent,MARK,B2,noun,,
account,REPORT,B2,noun,,
apostrophe,,B2,noun,,
arrow,SYMBOL,B2,noun,,
ban,,B2,noun,,
booklet,,B2,noun,,
chart,DRAWING,B2,noun,,
appeal,REQUEST,C1,noun,,
character,WRITING,C1,noun,,
claim,STATEMENT,C1,noun,,
channel,COMMUNICATION,C2,noun,,
cliché,,C2,noun,,
advice,,A2,noun,,
blame,,B2,noun,,
chat,,A2,noun,,
apology,,B1,noun,,
attack,CRITICISM,C2,noun,,
apologise,,B1,verb,,
argue,DISAGREE,B1,verb,,
check,ASK,B2,verb,,
cheer,,B2,verb,,
appeal,REQUEST,C1,verb,,
ask,INVITE,A2,verb,,
add,"SAY MORE",B1,verb,,
announce,,B1,verb,,
approve,AGREE,B1,verb,,
blame,RESPONSIBLE,B1,verb,,
amuse,"MAKE LAUGH",B2,verb,,
assume,,B2,verb,,
assure,"SAY WITH CERTAINTY",B2,verb,,
call,DESCRIBE,B2,verb,,
capture,DESCRIBE,B2,verb,,
challenge,,B2,verb,,
claim,SAY,B2,verb,,
attack,CRITICIZE,C1,verb,,
clarify,,C1,verb,,
allege,,C2,verb,,
admit,,B1,verb,,
advise,,B1,verb,,
ask,REQUEST,B1,verb,,
ask,"WANT SOMETHING",B1,verb,,
ask,"WANT PERMISSION",B1,verb,,
argue,"GIVE REASONS",B2,verb,,
beg,"STRONG REQUEST",B2,verb,,
beg,"VERY POOR",B2,verb,,
boast,PRIDE,B2,verb,,
claim,DEMAND,B2,verb,,
call,"ASK TO COME",C1,verb,,
bark,SHOUT,C2,verb,,
burglar,,B2,noun,,
case,CRIME,B2,noun,,
case,"COURT OF LAW",B2,noun,,
arrest,,B2,noun,,
burglary,,B2,noun,,
arrest,,B1,verb,,
centimetre,,A2,noun,,
amount,,B1,noun,,
average,AMOUNT,B1,noun,,
bar,BLOCK,B1,noun,,
bunch,THINGS,B1,noun,,
base,BOTTOM,B2,noun,,
block,PIECE,B2,noun,,
angle,SPACE,C1,noun,,
acre,,C2,noun,,
black,,A2,noun,,
accuracy,,B2,noun,,
blue,,A2,noun,,
brown,,A2,noun,,
average,USUAL/TYPICAL,B1,noun,,
blackboard,,A2,noun,,
candidate,EXAMINATION,B1,noun,,
branch,SUBJECT,B2,noun,,
chemistry,,A2,noun,,
bar,"DRINKING PLACE",A1,noun,,
barbecue,PARTY,A2,noun,,
can,,A2,noun,,
canteen,,B1,noun,,
bite,FOOD,B2,noun,,
bun,,B2,noun,,
cherry,,B2,noun,,
casserole,CONTAINER,C2,noun,,
beef,,B1,noun,,
broccoli,,B1,noun,,
"chewing gum",,B1,noun,,
chilli,,A2,noun,,
cabbage,,B1,noun,,
aubergine,,B2,noun,,
appetite,FOOD,C1,noun,,
cereal,PLANT,C1,noun,,
casserole,FOOD,C2,noun,,
barbecue,,B1,verb,,
boil,COOK,B1,verb,,
beat,FOOD,C1,verb,,
bake,,A2,verb,,
board,INFORMATION,A2,noun,,
bookshelf,,A2,noun,,
ceiling,ROOM,A2,noun,,
area,PART,B1,noun,,
basin,,B1,noun,,
block,BUILDING,B1,noun,,
candle,,B1,noun,,
"chest of drawers",,B1,noun,,
barrier,FENCE,B2,noun,,
bench,,B2,noun,,
brick,,B2,noun,,
cabinet,,B2,noun,,
cellar,,B2,noun,,
chimney,,B2,noun,,
cloth,"FOR CLEANING",B2,noun,,
cabin,HOUSE,C1,noun,,
balcony,THEATRE,C2,noun,,
"air conditioning",,B1,noun,,
architecture,STYLE,B1,noun,,
carpet,,A2,noun,,
atmosphere,"AIR INSIDE",B2,noun,,
cent,,A2,noun,,
cheque,,A2,noun,,
account,BANK,B1,noun,,
"bank account",,B1,noun,,
award,PRIZE,B2,noun,,
balance,MONEY,B2,noun,,
budget,AMOUNT,B2,noun,,
bid,BUY,C2,noun,,
cash,NOTES/COINS,A2,noun,,
change,MONEY,B1,noun,,
change,COINS,B1,noun,,
change,MONEY,A2,verb,,
borrow,MONEY,C1,verb,,
area,REGION,A2,noun,,
bay,COAST,B1,noun,,
branch,TREE,B1,noun,,
breeze,,B1,noun,,
cliff,,B1,noun,,
atom,,B2,noun,,
bank,RIVER,B2,noun,,
berry,,B2,noun,,
bush,,B2,noun,,
"carbon footprint",,B2,noun,,
cloud,SMOKE/DUST,B2,noun,,
bed,BOTTOM,C2,noun,,
aluminium,,B2,noun,,
carbon,,B2,noun,,
"carbon dioxide",,B2,noun,,
"carbon monoxide",,B2,noun,,
"climate change",,B2,noun,,
astronomy,,C2,noun,,
climate,WEATHER,B1,noun,,
acid,,B2,noun,,
bottom,SEA/RIVER/LAKE,B1,noun,,
blow,WIND,B1,verb,,
break,STORM,C2,verb,,
break,WEATHER,C2,verb,,
boil,"HEAT LIQUID",A2,verb,,
check,,B1,noun,,
act,"THING DONE",B2,noun,,
attempt,,B2,noun,,
capture,,C1,noun,,
behave,"IN A PARTICULAR WAY",B1,verb,,
blow,PERSON,B1,verb,,
act,"DO SOMETHING",B2,verb,,
adjust,"CHANGE BEHAVIOUR",B2,verb,,
campaign,,C1,verb,,
cling,"HOLD TIGHT",C2,verb,,
achieve,,B1,verb,,
attach,CONNECT,B1,verb,,
attempt,,B1,verb,,
avoid,"STAY AWAY FROM",B1,verb,,
bury,"DEAD BODY",B1,verb,,
cancel,,B1,verb,,
carry,"HAVE WITH YOU",B1,verb,,
catch,"STOP ESCAPING",B1,verb,,
circle,DRAW,B1,verb,,
clear,,B1,verb,,
acquire,LEARN,B2,verb,,
adapt,"CHANGE SOMETHING",B2,verb,,
adjust,CHANGE,B2,verb,,
adopt,START,B2,verb,,
analyse,,B2,verb,,
arrange,"PUT IN POSITION",B2,verb,,
assess,,B2,verb,,
avoid,PREVENT,B2,verb,,
beat,HIT,B2,verb,,
burgle,,B2,verb,,
bury,HIDE,B2,verb,,
calculate,MATHS,B2,verb,,
capture,CATCH,B2,verb,,
check,EXAMINE,A2,verb,,
approach,"COME CLOSE",B1,verb,,
arrange,PLAN,B1,verb,,
attend,"BE PRESENT",B1,verb,,
babysit,,B1,verb,,
assist,,B2,verb,,
balance,"NOT FALLING",B2,verb,,
bang,,B2,verb,,
bend,BODY,B2,verb,,
brush,TOUCH,B2,verb,,
charge,ATTACK,B2,verb,,
chase,"RUN AFTER",B2,verb,,
blow,SOUND,C2,verb,,
carve,,C2,verb,,
adult,,A1,noun,,
adolescent,,C2,noun,,
beauty,"BEING BEAUTIFUL",B1,noun,,
childhood,,B1,noun,,
background,EXPERIENCE,B1,noun,,
chance,RISK,B2,noun,,
bully,,C1,noun,,
character,"INTERESTING PERSON",C1,noun,,
anger,,B2,noun,,
anxiety,,B2,noun,,
appeal,QUALITY,B2,noun,,
certainty,"BEING SURE",B2,noun,,
charisma,,C2,noun,,
attitude,,B1,noun,,
character,QUALITIES/PERSONALITY,B1,noun,,
charm,QUALITY,B2,noun,,
care,LOVE,B1,verb,,
appeal,ATTRACT,B2,verb,,
approve,"GOOD OPINION",B2,verb,,
belong,"HAPPY SOMEWHERE",B2,verb,,
blush,,B2,verb,,
bother,ANNOY,A2,verb,,
annoy,,B1,verb,,
attract,"ENCOURAGE INTEREST",B1,verb,,
admire,RESPECT,B2,verb,,
appreciate,VALUE,B2,verb,,
bear,ACCEPT,B2,verb,,
betray,,B2,verb,,
bother,WORRY,B2,verb,,
behave,"BE POLITE",B1,verb,,
care,WORRY,B1,verb,,
cheat,,B2,verb,,
capital,,A2,noun,,
citizen,"LEGAL RIGHT",B2,noun,,
chancellor,MONEY,C2,noun,,
centre,POLITICAL,C2,noun,,
boyfriend,,A2,noun,,
anniversary,,B1,noun,,
bride,,B1,noun,,
ceremony,,B1,noun,,
affair,RELATIONSHIP,B2,noun,,
bond,,B2,noun,,
brother-in-law,,B2,noun,,
circle,GROUP,B2,noun,,
bond,,C2,verb,,
celebrate,,B1,verb,,
adopt,"TAKE CHILD",B2,verb,,
board,GAMES,A2,noun,,
basket,,B1,noun,,
captain,SPORTS,B1,noun,,
chain,BUSINESS,B1,noun,,
champion,WINNER,B1,noun,,
checkout,SHOP,B1,noun,,
arrow,WEAPON,B2,noun,,
brand,,B2,noun,,
catalogue,,B2,noun,,
athletics,,B1,noun,,
attack,SPORT,B1,noun,,
appear,"BECOME AVAILABLE",B2,verb,,
browse,LOOK,B2,verb,,
beat,DEFEAT,B1,verb,,
button,"ON MACHINE",B1,noun,,
card,COMPUTER,B1,noun,,
backup,COPY,B2,noun,,
bookmark,,B2,noun,,
breakdown,"NOT WORKING",B2,noun,,
bug,COMPUTER,B2,noun,,
bulb,,B2,noun,,
chip,"COMPUTER PART",B2,noun,,
access,RIGHT/OPPORTUNITY,B1,noun,,
broadband,,B2,noun,,
CD-ROM,,B1,noun,,
cable,WIRE,B2,noun,,
attach,COMPUTING,B1,verb,,
access,,B2,verb,,
bookmark,,B2,verb,,
burn,COPY,B2,verb,,
browse,COMPUTING,B2,verb,,
charge,ELECTRICITY,B2,verb,,
aeroplane,,A2,noun,,
case,BAG,A2,noun,,
boot,CAR,B1,noun,,
brake,,B1,noun,,
cab,,B1,noun,,
cabin,AIRCRAFT,B1,noun,,
campsite,,B1,noun,,
"check-in (desk)",,B1,noun,,
"check-in (counter)",,B1,noun,,
aircraft,,B2,noun,,
captain,SHIP/AIRCRAFT,B2,noun,,
carriage,TRAIN,C1,noun,,
cabin,SHIP,C2,noun,,
carriage,"WITH HORSE",C2,noun,,
baggage,CASES,B1,noun,,
approach,"COMING CLOSER",B2,noun,,
camp,TENTS/BUILDINGS,B1,noun,,
accelerate,VEHICLE,C2,verb,,
carry,TRANSPORT,B2,verb,,
book,,A2,verb,,
board,,B1,verb,,
boss,,A2,noun,,
agency,BUSINESS,B1,noun,,
architect,,B1,noun,,
career,JOB,B1,noun,,
agent,"SECRET INFORMATION",B2,noun,,
analyst,,B2,noun,,
chief,,B2,noun,,
client,,B2,noun,,
bid,OFFER,C1,noun,,
career,TIME,C2,noun,,
architecture,SUBJECT,B1,noun,,
business,WORK,B1,noun,,
advertise,"ASK FOR",B1,verb,,
appoint,,C1,verb,,
cigarette,,A2,noun,,
addict,,B2,noun,,
cancer,,B1,noun,,
abuse,LANGUAGE,C2,noun,,
alcohol,,A2,noun,,
champagne,,A2,noun,,
bacon,,B1,noun,,
beer,,A1,noun,,
cathedral,,A2,noun,,
church,,A2,noun,,
bribe,,C1,noun,,
bomb,,B1,verb,,
arrival,"NEW PERSON/THING",C1,noun,,
arrival,,B1,noun,,
approval,"GOOD OPINION",B2,noun,,
arrival,"BECOME AVAILABLE",C2,noun,,
acquaintance,,C1,noun,,
appliance,,C1,noun,,
alliance,,C2,noun,,
annoyance,,C1,noun,,
acceptance,,C1,noun,,
attendance,NUMBER,C1,noun,,
attendance,REGULARLY,C1,noun,,
baker,,B1,noun,,
blogger,,B1,noun,,
border,,B1,noun,,
butcher,,B1,noun,,
buyer,,B1,noun,,
banker,,B2,noun,,
climbing,,A2,noun,,
advertising,,B2,noun,,
banking,,B2,noun,,
backing,,C2,noun,,
ambition,HOPE,B1,noun,,
application,REQUEST,B1,noun,,
attraction,"THING TO SEE OR DO",B1,noun,,
addition,"NEW THING",B2,noun,,
association,,B2,noun,,
accusation,,C1,noun,,
assumption,,C1,noun,,
audition,,C1,noun,,
allocation,SHARE,C2,noun,,
accommodation,,B1,noun,,
attention,NOTICE,B1,noun,,
administration,,C1,noun,,
aggression,,C1,noun,,
caution,CARE,C1,noun,,
civilization,"WAY OF LIFE",C1,noun,,
action,FIGHTING,C2,noun,,
allocation,PROCESS,C2,noun,,
anticipation,WAITING,C2,noun,,
civilization,SOCIETY,B2,noun,,
adaptation,,C1,noun,,
alteration,,C1,noun,,
auction,,C1,noun,,
cancellation,,C1,noun,,
accumulation,,C2,noun,,
application,USE,C2,noun,,
association,CONNECTION,C2,noun,,
classification,,C2,noun,,
action,PROCESS,C2,noun,,
chemist,SCIENCE,B1,noun,,
celebrity,,B1,noun,,
authority,"OFFICIAL GROUP",C1,noun,,
activity,MOVEMENT,B2,noun,,
authority,POWER,B2,noun,,
availability,,B2,noun,,
charity,KINDNESS,C2,noun,,
ability,,B1,noun,,
charity,ORGANIZATION,B1,noun,,
capability,,C1,noun,,
ambiguity,,C2,noun,,
alternative,,B2,noun,,
authorize,,C1,verb,,
appointment,,A2,noun,,
arrangement,POSITION,B2,noun,,
attachment,EQUIPMENT,B2,noun,,
announcement,,B1,noun,,
amusement,ENTERTAINMENT,B2,noun,,
amendment,,C1,noun,,
attachment,FEELING,C2,noun,,
awareness,,C1,noun,,
closeness,NEAR,C1,noun,,
closeness,RELATIONSHIP,C1,noun,,
blindness,"NOT NOTICING",C2,noun,,
author,,B1,noun,,
calculator,,B1,noun,,
ambassador,,B2,noun,,
administrator,,C1,noun,,
anchor,BOAT,C2,noun,,
anchor,SUPPORT,C2,noun,,
bomber,PERSON,B2,noun,,
bomber,AIRCRAFT,C2,noun,,
alcoholic,,C2,noun,,
adjective,,A2,noun,,
adverb,,A2,noun,,
"alarm clock",,A2,noun,,
album,BOOK,A2,noun,,
barbecue,EQUIPMENT,A2,noun,,
battery,,A2,noun,,
bill,,A2,noun,,
body,DEAD,A2,noun,,
call,TELEPHONE,A2,noun,,
case,CONTAINER,A2,noun,,
chef,,A2,noun,,
class,STANDARD,A2,noun,,
click,,A2,noun,,
accountant,,B1,noun,,
age,PERIOD,B1,noun,,
aim,,B1,noun,,
airline,,B1,noun,,
alarm,WAKING,B1,noun,,
